strategy,t,ndcg_m,ndcg_s,rd_m,rd_s,lss_m,lss_s,ptkr_m,conv_m,sigma_m
LCB,0,0.9988938464875049,0.0006566488504308424,0.0,0.0,1.0,0.0,0.0,0.0,0.29999999999999993
LCB,1,0.9989317188996005,0.0005564694087452306,0.019166666666666665,0.023159243828602082,1.0,0.0,0.025,0.05333333333333334,0.0948683298050514
LCB,2,0.9990120076650177,0.0005867131912587429,0.021833333333333333,0.027053055577733805,1.0,0.0,0.0,0.08666666666666667,0.06882472016116851
LCB,3,0.9991250310951739,0.0005449165243511932,0.0355,0.03171396950980696,1.0,0.0,0.0,0.11333333333333333,0.05669467095138409
LCB,4,0.9991027430110668,0.0005912384059032076,0.036000000000000004,0.03072121585237596,1.0,0.0,0.0,0.14666666666666667,0.049319696191607185
LCB,5,0.9992286677700112,0.0004883766151441965,0.035833333333333335,0.03189647406017262,1.0,0.0,0.0,0.15333333333333332,0.04423258684646915
LCB,6,0.9992888917370413,0.00039566994064873823,0.04616666666666667,0.04166126401755268,1.0,0.0,0.0,0.18166666666666667,0.040451991747794534
LCB,7,0.9993971967891386,0.00036943465154714726,0.05883333333333333,0.046898337102593585,1.0,0.0,0.0,0.21833333333333332,0.0375
LCB,8,0.9993294208981173,0.00038506649790608777,0.04533333333333334,0.03657616836075128,1.0,0.0,0.0,0.22333333333333333,0.03511234415883917
LCB,9,0.999410263101319,0.0002866746688411896,0.05566666666666666,0.04448427334140284,1.0,0.0,0.0,0.22666666666666666,0.03312945782245395
LCB,10,0.9995075877467674,0.0002783266820016861,0.07,0.05793873101582513,1.0,0.0,0.0,0.26833333333333337,0.031448545101657545
LCB,11,0.9994844827265846,0.0002611967121635665,0.06383333333333334,0.05084939448548261,1.0,0.0,0.0,0.3,0.030000000000000006
LCB,12,0.9994771232092553,0.00025011265759435926,0.06166666666666667,0.05321286682187212,1.0,0.0,0.0,0.30333333333333334,0.028734788556634548
LCB,13,0.9994871678502911,0.00031834252592802693,0.061000000000000006,0.03851555888030276,1.0,0.0,0.0,0.29333333333333333,0.027617238536949706
LCB,14,0.9994859961324002,0.0002924491257281265,0.07166666666666667,0.055341157181259946,1.0,0.0,0.0,0.3466666666666667,0.026620695282483415
LCB,15,0.9995346807465263,0.0003085225502081978,0.06983333333333334,0.05436916172911291,1.0,0.0,0.0,0.33166666666666667,0.02572478777137633
LCB,16,0.9995927769915839,0.0002641166474953293,0.07683333333333334,0.0635241378686403,1.0,0.0,0.0,0.365,0.024913643956121993
LCB,17,0.9995663703428723,0.00023782489288747466,0.06933333333333333,0.052926972025764824,1.0,0.0,0.0,0.35333333333333333,0.02417468892076141
LCB,18,0.999596596751471,0.00017598099426447794,0.07616666666666667,0.0646700289444667,1.0,0.0,0.0,0.38,0.023497813499638733
LCB,19,0.999613480896106,0.00024964888502570874,0.08466666666666667,0.05186077737447693,1.0,0.0,0.0,0.38833333333333336,0.022874785549890704
LCB,20,0.999639623521563,0.0001719999670055736,0.08600000000000001,0.05101385883368801,1.0,0.0,0.0,0.4083333333333333,0.02229882438741499
LCB,21,0.9995999478874804,0.00019507918915423014,0.089,0.05574572814930801,1.0,0.0,0.0,0.4,0.021764287503300346
LCB,22,0.9997127488817195,0.00014307695725916103,0.0915,0.05685962751706443,1.0,0.0,0.0,0.43166666666666664,0.021266436150250083
LCB,23,0.9996599923267769,0.0001806271263802057,0.08066666666666666,0.059054815759324954,1.0,0.0,0.0,0.4566666666666667,0.02080125735844609
LCB,24,0.9996467989924878,0.00017642406479823032,0.08716666666666666,0.061821256992170205,1.0,0.0,0.0,0.46499999999999997,0.020365326999063918
LCB,25,0.999683628600793,0.0001619485600179578,0.09233333333333334,0.0584679890805767,1.0,0.0,0.0,0.43666666666666665,0.01995570315713218
LCB,26,0.9997115857786787,0.0001582705101235655,0.09666666666666666,0.06003351554345079,1.0,0.0,0.0,0.4516666666666667,0.019569842191603272
LCB,27,0.9997066841362298,0.00016981734182557477,0.09233333333333334,0.05170762188420137,1.0,0.0,0.0,0.4716666666666667,0.0192055319899344
LCB,28,0.9997120588747577,0.0001512620753512658,0.09183333333333334,0.05361875851199668,1.0,0.0,0.0,0.45,0.018860838403857945
LCB,29,0.9997124621136562,0.00013921753024391927,0.097,0.06438836905036126,1.0,0.0,0.0,0.48333333333333334,0.018534061896456462
LCB,30,0.9996912011971103,0.000193401122925855,0.09433333333333334,0.05886473877682944,1.0,0.0,0.0,0.48000000000000004,0.01822370217692361
LCB,31,0.9997246949998957,0.00017248723594071939,0.09966666666666665,0.05328733648705907,1.0,0.0,0.0,0.49166666666666664,0.017928429140015904
LCB,32,0.9997431029819807,0.00017300056982012083,0.10266666666666667,0.054815259222940484,1.0,0.0,0.0,0.4983333333333333,0.01764705882352941
LCB,33,0.9997132771279758,0.00017495330679003307,0.09933333333333333,0.05839422109653714,1.0,0.0,0.0,0.4966666666666667,0.017378533390904772
LCB,34,0.9997591765658552,0.00012563753713569335,0.09533333333333334,0.056353767633023286,1.0,0.0,0.0,0.53,0.017121904366060488
LCB,35,0.9997484361496549,0.00018392011449286133,0.0985,0.05239357028201601,1.0,0.0,0.0,0.53,0.016876318513890362
LCB,36,0.9997655491953402,0.0001564320370691071,0.10883333333333334,0.0660679291666374,1.0,0.0,0.0,0.5566666666666666,0.016641005886756877
LCB,37,0.9997614936534368,0.00012775612159791563,0.10316666666666666,0.05448003958004874,1.0,0.0,0.0,0.5416666666666666,0.01641526965493749
LCB,38,0.9997919949508866,0.00013485237899531024,0.11033333333333334,0.06452656941849258,1.0,0.0,0.0,0.6066666666666667,0.01619847741468117
LCB,39,0.9997665042167402,0.00013001307416762482,0.107,0.0709613785194405,1.0,0.0,0.0,0.5383333333333333,0.015990053726670783
LCB,40,0.999773477595408,0.00011657394609503337,0.10516666666666666,0.062179985322550875,1.0,0.0,0.0,0.6016666666666667,0.015789473684210527
LCB,41,0.999782955124042,0.0001225749521270268,0.1035,0.06389849169878198,1.0,0.0,0.0,0.5566666666666666,0.01559625734730109
LCB,42,0.9998024694129236,0.00011387717311751472,0.11116666666666666,0.05848199447830862,1.0,0.0,0.0,0.5816666666666667,0.015409964908125424
LCB,43,0.9997833107753334,0.00013145009671483744,0.10716666666666666,0.06550445277485595,1.0,0.0,0.0,0.6033333333333334,0.01523019247700429
LCB,44,0.9998117206340259,0.00010389930794737976,0.10983333333333332,0.06457397967118575,1.0,0.0,0.0,0.63,0.01505656839685487
LCB,45,0.9997833624998026,0.000131540011777271,0.10833333333333334,0.05571375941817019,1.0,0.0,0.0,0.5783333333333334,0.014888750009563956
LCB,46,0.9998225442811521,8.463124602703883e-05,0.112,0.06588391044232586,1.0,0.0,0.0,0.615,0.01472642081021448
